,m318,m858,m50,m527,m1198,m904,m260,m750,m912,m2762,m913,m1193,m923,m908,m1221,m593,m1252,m2028,m1136,m2324,m1234,m2858,m2571,m1197,m1233,m1196,m296,m1213,m541,m608,m1225,m969,m1278,m919,m1247,m1208,m2804,m110,m2692,m1617,m3114,m1219,m1304,m1358,m1242,m111,m1288,m1704,m1214,m3147,m1240,m1,m1230,m1089,m1291,m2396,m1200,m2997,m1294,m1036,m2918,m1222,m47,m3578,m1258,m457,m1259,m1090,m1387,m356,m1206,m2959,m150,m1307,m924,m589,m1961,m3421,m1610,m3671,m1210,m1394,m3471,m2194,m920,m1674,m1270,m1079,m2791,m1097,m1265,m1784,m223,m32,m1954,m1220,m2268,m2599,m3481,m590
u101,,,,,5.0,,5.0,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,
u1010,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,,,,,,3.0,4.0,5.0,4.0,3.0,2.0,,5.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,4.0,2.0,,5.0,4.0,4.0,4.0,4.0,,5.0,5.0,5.0,3.0,2.0,5.0,2.0,,4.0,2.0,2.0,,4.0,2.0,5.0,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,5.0,,4.0,4.0,3.0,4.0,3.0,5.0,,5.0,4.0,4.0,4.0,2.0,,2.0,3.0
u1011,,4.0,5.0,,,,5.0,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,4.0,,4.0,,,,,,,,,,
u1012,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,5.0,,,,,,,3.0,,,,,5.0,,,,4.0,2.0,,,,,,,,,
u1013,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,4.0,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,5.0,2.0,
u1014,,2.0,,5.0,5.0,,,,,,,4.0,,,,,5.0,4.0,,,,,,4.0,,4.0,,,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,4.0,,,,,,,,2.0,,,,,
u1015,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,,,4.0,5.0,5.0,4.0
u1016,4.0,,,5.0,,,,,,4.0,,,,,5.0,,,5.0,,5.0,,5.0,,,,,,,,4.0,,,,,,,,,4.0,5.0,5.0,,,,,,,4.0,,,,,,,,5.0,,4.0,,,,,,,,3.0,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
u1017,4.0,1.0,,,4.0,,3.0,2.0,4.0,4.0,2.0,5.0,,3.0,,5.0,2.0,3.0,5.0,,3.0,3.0,4.0,2.0,,,,,3.0,,4.0,4.0,5.0,,,4.0,1.0,4.0,,,5.0,5.0,3.0,,,,1.0,,4.0,,5.0,4.0,,4.0,,,5.0,,,,5.0,4.0,,,5.0,5.0,3.0,,3.0,3.0,5.0,4.0,5.0,,5.0,4.0,4.0,5.0,,,,,5.0,,5.0,,5.0,,1.0,,4.0,3.0,,4.0,3.0,,3.0,3.0,,
u1018,5.0,5.0,,,4.0,,5.0,,,,,5.0,,,5.0,4.0,,4.0,,,5.0,,5.0,,,5.0,,,4.0,,,,,,5.0,,,5.0,,,,4.0,5.0,,4.0,4.0,,,4.0,,3.0,,,,5.0,,,,,5.0,5.0,3.0,,5.0,3.0,,5.0,,4.0,,,,,5.0,,4.0,5.0,4.0,,4.0,5.0,,,,,,5.0,,3.0,5.0,,,,,5.0,,,,,5.0
u1019,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,3.0,2.0,4.0,4.0,,5.0,4.0,4.0,4.0,5.0,5.0,,4.0,,5.0,,5.0,4.0,3.0,3.0,,4.0,5.0,3.0,1.0,4.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,,3.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,1.0,4.0,3.0,5.0,2.0,4.0,3.0,1.0
u102,,,,,,,,5.0,4.0,,4.0,5.0,4.0,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,1.0,,,5.0,,,,5.0,,,,,5.0,,,,,5.0,,3.0,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,5.0,,,1.0,,,,,,,,5.0,,
u1020,,,,,,,,,,,,,,,,,,5.0,,,,4.0,5.0,,,,5.0,,,,,,,,,,,5.0,4.0,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,
u1021,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,,5.0,,5.0,5.0,5.0,5.0,,,,5.0,,,,4.0,,,3.0,5.0,5.0,5.0,,5.0,5.0,5.0,,,,5.0,5.0,5.0,5.0,,,5.0,,5.0,,,,5.0,4.0,,,5.0,,,5.0,,,,,,,,,5.0,,,5.0,,,,5.0,,,,,5.0,,,,,,,,,,,4.0,,,,,,,5.0,,
u1022,,,,5.0,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,1.0,,,3.0,4.0,,,,4.0,3.0,,,,5.0,,,,1.0,,3.0,,,,,,,,,,,,2.0,,4.0,5.0,,
u1023,,,,,,,,,4.0,,,,,,,4.0,,,,,,2.0,,,,,,,,,5.0,5.0,,,,4.0,,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,4.0,,,,,,,,,,,5.0,,,5.0,,,,,,,,
u1024,,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,1.0,,,,3.0,5.0,,,,,5.0,,,,,,,,,
u1025,,,,,,,,,,,,,,,,,,,,,,5.0,,,,4.0,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,,,,
u1026,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1027,4.0,5.0,,5.0,,,,,5.0,,,5.0,,,5.0,4.0,,4.0,,,,5.0,,,5.0,,4.0,4.0,,,4.0,,,,,5.0,,4.0,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,5.0,,,,,,,,,,,,3.0,,,,,,,,,,5.0,
u1028,,,,,,,,,5.0,,,5.0,5.0,4.0,5.0,5.0,,,,,,5.0,,,,,4.0,4.0,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
u1029,5.0,,,,3.0,,2.0,,,4.0,,,4.0,,,4.0,,,4.0,5.0,,3.0,,5.0,,2.0,,,,3.0,,,3.0,5.0,,,4.0,,,,,2.0,,,,,,,,,,4.0,3.0,,2.0,3.0,,,,2.0,4.0,2.0,,,1.0,,3.0,,4.0,,,,,4.0,,3.0,,,3.0,,3.0,4.0,,3.0,,,3.0,3.0,3.0,,,,2.0,,3.0,4.0,,5.0,3.0,
u103,,,,,,,,,3.0,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,5.0,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,
u1030,,,,,5.0,,5.0,,,,,,,,,,,5.0,,,,5.0,4.0,4.0,,5.0,,,,,,,5.0,,,,,5.0,,,3.0,,5.0,,4.0,,,,5.0,,5.0,,,,4.0,5.0,5.0,,,,,,,4.0,,4.0,,,4.0,,,,,,,,,4.0,4.0,,,4.0,,,,,,,,,,,,,5.0,3.0,,,,
u1031,,,,,4.0,,4.0,5.0,,,,3.0,,,,,,5.0,,,,,4.0,,,4.0,,,4.0,,,,,4.0,,,,5.0,,,,,4.0,,,,,,4.0,,5.0,,,,4.0,,5.0,,,4.0,,,,3.0,,,,,,,4.0,,,,5.0,5.0,,,4.0,,4.0,,,5.0,,,4.0,,,,,,,3.0,,3.0,,,,
u1032,4.0,,,,,,,,5.0,,5.0,4.0,,,,,4.0,,,3.0,,,,,4.0,,,,,5.0,,,,,5.0,,,,4.0,,5.0,,,,,,,5.0,,,,5.0,,,,4.0,,5.0,,,,,,3.0,,,,,,5.0,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,3.0
u1033,,,,,,,5.0,4.0,,,,,,4.0,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,5.0,,,,,2.0,,4.0,,,,,,,,,,,,4.0,,3.0,,,5.0,,4.0,2.0,,3.0,5.0,,,,,,,,4.0,,,,5.0,5.0,,,,,,,,5.0,,,,,,,,,,3.0,
u1034,,,,,5.0,5.0,4.0,,5.0,,5.0,,,5.0,,,,4.0,,,4.0,5.0,2.0,,,4.0,,,,,4.0,4.0,,4.0,,,,,,3.0,4.0,,,,4.0,,,,,4.0,,,,,4.0,5.0,,,,4.0,,,,4.0,,,,,,,,,,5.0,3.0,,4.0,,,,3.0,,4.0,,5.0,,,,,4.0,,3.0,,,4.0,,,,,4.0
u1035,5.0,5.0,,5.0,4.0,,,,1.0,,,5.0,,,,2.0,,5.0,,,,3.0,,,,5.0,,5.0,,,,,,5.0,1.0,5.0,,4.0,,,,,,5.0,5.0,5.0,,3.0,,,,,,,,,,,,,,,,1.0,,,5.0,5.0,,,,,,,,,5.0,,,,,,,5.0,,,,,,5.0,,,,5.0,5.0,,3.0,,,5.0
u1036,,5.0,5.0,,3.0,5.0,4.0,,,,,5.0,,5.0,,5.0,,,5.0,,,4.0,,,,,5.0,5.0,,5.0,,4.0,,5.0,,3.0,5.0,,,3.0,,5.0,,,,,,,,,,5.0,,,,4.0,,4.0,5.0,,,,,,,,,,4.0,,3.0,,,,,,,,,4.0,,5.0,,,4.0,,,5.0,,,,,,,,,,,,
u1037,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
u1038,5.0,5.0,,5.0,,4.0,3.0,4.0,5.0,5.0,4.0,5.0,,,,5.0,3.0,3.0,,,,1.0,,5.0,,3.0,,,,,,5.0,,,,,,,,,,5.0,,5.0,,,,,,5.0,,,4.0,,,5.0,,,3.0,,,,,,,,,,5.0,5.0,,,4.0,5.0,,,,,,,,,,,,5.0,,,,,3.0,,,,,1.0,,,,4.0
u1039,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u104,,5.0,,,,,,,,,,2.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
u1040,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,,,5.0,,5.0,,5.0,5.0,5.0,,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,,5.0,,,5.0,,4.0,,4.0,,5.0,,,5.0,4.0,5.0,5.0,4.0,5.0,4.0,,,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,,3.0,,5.0,,4.0,4.0,4.0,4.0,,5.0
u1041,,5.0,,,,,,5.0,,,4.0,,,,,,,,,,,4.0,,,,,,5.0,,5.0,4.0,,,4.0,5.0,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,5.0,,
u1042,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
u1043,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,4.0,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,
u1044,,5.0,,,5.0,,4.0,,,,,,,,4.0,,,,4.0,,,,,5.0,,5.0,,,4.0,,4.0,,,,,,4.0,,,,,,,,3.0,4.0,,,5.0,,4.0,3.0,,,2.0,,5.0,,,4.0,4.0,4.0,,,4.0,,4.0,3.0,5.0,,,,,4.0,,,3.0,,,,3.0,,,,,4.0,3.0,4.0,4.0,4.0,,,,,4.0,4.0,,,,
u1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
u1046,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1047,,,,,4.0,,5.0,,,5.0,,,,,,,,5.0,,,,,4.0,,,5.0,,,,,,,,3.0,,,,5.0,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,4.0,,5.0,,,4.0,,,,,5.0,4.0,,,3.0,,,,,5.0,,,,,,4.0,,,4.0,,,,3.0,,,,,,
u1048,4.0,,,5.0,,,,,,4.0,,5.0,,,,,,4.0,,,,,,,,,5.0,4.0,,5.0,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,4.0,4.0,
u1049,,,,5.0,,,,,,,,,,4.0,,,,4.0,,,,5.0,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u105,,5.0,,,,,5.0,,,,,,,,5.0,,,5.0,,,,,5.0,5.0,,5.0,,,,,,,,,,,,,4.0,,,,5.0,,5.0,,,,5.0,,,,,,5.0,,4.0,,,,,4.0,,5.0,,4.0,,,5.0,,,,,,,5.0,,,,,4.0,,,4.0,,,,,,,,,,,,3.0,,,,
u1050,5.0,,4.0,3.0,,,,,,5.0,,,,,,4.0,,4.0,,,,5.0,5.0,,,,5.0,3.0,,5.0,,,,,,,,5.0,4.0,5.0,,,,3.0,,,,3.0,,4.0,,4.0,,4.0,,4.0,,,,,,,5.0,3.0,,5.0,,,,5.0,,3.0,4.0,,,4.0,,,3.0,,,,,,,,,,,4.0,4.0,4.0,4.0,3.0,,,4.0,4.0,3.0,4.0
u1051,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,,1.0,,5.0,,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,,,5.0,,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0
u1052,,,,,,,,,5.0,,,,5.0,5.0,,,5.0,,,,,4.0,,,,,,,,2.0,,5.0,,5.0,4.0,,,,,4.0,,,,,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
u1053,,5.0,,,5.0,4.0,5.0,,,,5.0,,,,5.0,,5.0,5.0,,,,,4.0,4.0,3.0,4.0,,,5.0,,,5.0,,,,,,4.0,3.0,5.0,,,5.0,,3.0,,,,4.0,,4.0,,,,4.0,3.0,,,,5.0,,4.0,,4.0,,5.0,,,5.0,,,4.0,,,3.0,5.0,,,4.0,,,,,4.0,,,,,,,,,4.0,,4.0,4.0,,2.0,,
u1054,,,,,5.0,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
u1055,,,,5.0,,,,,,5.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,,,,5.0,5.0,,,5.0,,4.0,4.0,,,,,2.0,,,4.0,,,,,5.0,,,,,,,,,3.0,,,,,,,,5.0,,4.0,,,,,,,5.0,,
u1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,3.0,,,,,,,,4.0,,5.0,4.0,,,,,,,,,,,,5.0,,,,,4.0,3.0,,,,,,5.0,,,,,,,,,,,4.0,,,,,,5.0,,,,,,,
u1057,,4.0,,5.0,,,5.0,4.0,,,,,5.0,,,5.0,,4.0,,,,4.0,4.0,,,5.0,,4.0,3.0,,,,,5.0,,,,,,,5.0,,4.0,,,,,,,,4.0,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,4.0,,,,3.0,2.0,,3.0,,,,4.0,,,4.0,,,,3.0,,,,,5.0,3.0
u1058,4.0,5.0,5.0,,4.0,,5.0,4.0,,5.0,,5.0,5.0,,5.0,4.0,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,4.0,,3.0,4.0,,5.0,5.0,5.0,4.0,5.0,,,4.0,5.0,3.0,4.0,5.0,,4.0,4.0,3.0,,3.0,4.0,4.0,4.0,4.0,5.0,,5.0,,4.0,,4.0,4.0,,4.0,4.0,5.0,,5.0,4.0,,,5.0,4.0,,4.0,4.0,3.0,5.0,5.0,4.0,4.0,,,4.0,5.0,5.0,3.0,4.0,,,4.0,5.0,4.0,,5.0,4.0,
u1059,5.0,5.0,3.0,4.0,4.0,,3.0,,3.0,4.0,,3.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,5.0,2.0,4.0,3.0,4.0,,3.0,5.0,5.0,4.0,5.0,5.0,,,2.0,5.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,,5.0,,3.0,1.0,4.0,4.0,,3.0,5.0,5.0,4.0,3.0,3.0,,4.0,3.0,4.0,4.0,,,,5.0,1.0,4.0,3.0,4.0,4.0,,,,4.0,4.0,,,4.0,,,3.0,4.0,4.0,,1.0,,3.0,1.0,4.0,3.0,2.0,3.0,3.0,,,4.0,3.0,3.0,4.0,4.0
u106,,,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,5.0,5.0,,,,,4.0,,,,,,,,,
u1060,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
u1061,,,,2.0,,,,,,,,2.0,,5.0,2.0,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,5.0,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,,,,,,
u1062,,5.0,,,,,,5.0,,4.0,5.0,5.0,5.0,4.0,,4.0,5.0,,,5.0,4.0,5.0,,,,,,,4.0,5.0,,,4.0,4.0,5.0,4.0,5.0,,,5.0,,4.0,5.0,,,5.0,,,,,,4.0,5.0,5.0,,5.0,,5.0,5.0,,3.0,,,,,,4.0,,,,5.0,4.0,,5.0,,,,,,,,5.0,4.0,,,,4.0,4.0,,,5.0,,,,,5.0,,,,5.0
